Time_s,U_01_V,U_02_V,U_03_V,U_04_V,U_05_V,U_06_V,U_07_V,U_08_V,U_09_V,U_10_V,U_11_V,U_12_V,I_A
0 days 00:00:01,3.9966464879950507,3.9990026204944606,3.99878379664819,3.9970223601597272,3.997594715543066,3.9956098189387848,3.997411746647835,3.9960715948213825,3.9965050136012232,3.998307481967286,3.998810108220392,3.9967491171898337,-0.0
0 days 00:00:01.100000,3.997570527307716,3.99773382520638,3.995953740536869,3.997680608821543,3.9979393670403804,3.9967995046536,3.9962375178045897,3.998458327397226,3.996410444373574,3.9963738627839795,3.9990057362372378,3.997270530869736,-0.0
0 days 00:00:01.200000,3.997547672341259,3.9973974098937286,3.9978062239145693,3.9981569817529623,4.000153517324,3.9991051956347086,3.9986613214587226,3.9953951320512666,3.99652182523683,3.996514082609193,3.9988541087639335,3.9961280576518714,-0.0
0 days 00:00:01.300000,3.997414627179731,3.9961736348803645,3.9961688144641707,3.996990291814995,3.9965452037475484,3.9985242000151975,3.997742722580547,3.99637146839933,3.9965703962631065,3.9973383790113037,3.9962811328760033,3.9975324438554054,-0.0
0 days 00:00:01.400000,3.9984777091423473,3.99772954474262,3.9981349402180135,3.9998412554677643,3.996659969454771,3.99783029315603,3.999348023250453,3.996511059169207,3.9985549029751333,3.9974694357270186,3.9973475412774424,3.9955874961425564,-0.0
0 days 00:00:01.500000,3.997807139681697,3.99774506976656,3.996636928656372,3.998376146766996,3.9978144576923706,3.999136450022521,3.997366609200905,3.9977716209281007,3.9971561860013742,3.9971806209490675,3.998771585101289,3.9985510866338783,-0.0
0 days 00:00:01.600000,3.9973800416793304,3.9963133186119477,3.996952395515574,3.997834582513764,3.9968487474778502,3.9972410252311104,3.9974083587660267,3.998751675484596,3.9980236730396292,3.998121168651143,3.997546500805342,3.9969046897422067,-0.0
0 days 00:00:01.700000,3.9975158598117573,3.997474433169272,3.9988437337614253,3.9981513470721306,3.9991294600068876,3.9979486480217084,3.9981371395384517,3.9970307320413916,3.997361347735495,3.9961182967137137,3.9984348702570336,3.998310249826439,-0.0
0 days 00:00:01.800000,3.997535352279616,3.9977941174447604,3.9977585783739245,3.9970780689288645,3.998161376974544,3.997510303328644,3.997078588509272,3.9982450694695895,3.998478751800238,3.9970727405943087,3.995125588318081,3.9965737529954066,-0.0
0 days 00:00:01.900000,3.9972150844715,3.998673520773938,3.997805177696209,3.99821243010913,3.9980428737579556,3.9975209672003715,3.9971202572304483,3.998287600373622,3.9991596610990903,3.9971301497690552,3.9970105080623872,3.9968825346312724,-0.0
0 days 00:00:02,3.9969530162790003,3.998295052489119,3.9983067047266134,3.9979630466949385,3.997300196102538,3.996917729963393,3.9984795539504208,3.997812808789389,3.9973447392414627,3.997921036611022,3.9989235595016677,3.9984759633273503,-0.0
0 days 00:00:02.100000,3.998799153448288,3.9962730636210066,3.9980837832155327,3.9985175477702346,3.997726501056429,3.9984150278577215,3.9963996842978045,3.9979946983163885,3.996942723712281,3.9977091215857112,3.9974209966600944,3.99830199418653,-0.0
0 days 00:00:02.200000,3.9992921547436855,3.9967385627100556,3.999000334121163,3.999434482892747,3.999069280678669,3.9985424306294606,3.9979968317551977,3.9959511241619627,3.9977406289647726,3.9973118634009404,3.997342177386079,3.9967731012092695,-0.0
0 days 00:00:02.300000,3.998271760774298,3.998140061431553,3.9962773355391996,3.997496212492798,3.9966579785156493,3.997838685465643,3.996645909325516,3.9972018313191886,3.995668391266754,3.99847717656581,3.997207075782239,3.9972105824573587,-0.0
0 days 00:00:02.400000,3.9962718827334274,3.9986074360506785,3.996596068368129,3.9981812634347866,3.997210113016188,3.9965942429344747,3.9991839355628254,3.9980413084928874,3.996989173540036,3.997908205583293,3.9971045104218006,3.998870728025243,-0.0
0 days 00:00:02.500000,3.99829114032748,3.997403931068732,3.998923056750277,3.997345965845648,3.9964942264009187,3.9964793924908437,3.9996960887066746,3.9987928609035,3.9957259224432424,3.9974561484062954,3.9975894121398734,3.9983601859667424,-0.0
0 days 00:00:02.600000,3.998711252893247,3.9976717928376466,3.99766267298847,3.996167532868528,3.9978646469081265,3.997728031856524,3.997949625660944,3.9982213874733548,3.9989308868360154,3.998479098812708,3.997442933324809,3.9973635388080284,-0.0
0 days 00:00:02.700000,3.998924493524862,3.997942259464027,3.998229111494068,3.9968162371179967,3.997309363678302,3.9975693775046617,3.997059385643486,3.9982233095482704,3.9985211383701382,3.998242615205699,3.9983122146013867,3.9979731954051907,-0.0
0 days 00:00:02.800000,3.99865282513473,3.9979134600933186,3.996901674352203,3.998094706124531,3.9969500157748628,3.9991066623831366,3.9977215216963944,3.9978452272930074,3.9967404699709936,3.997609643553107,3.9977777844934037,3.9958883912901877,-0.0
0 days 00:00:02.900000,3.998182989560183,3.9956393354422737,3.99823721122502,3.997242371186902,3.997407502272495,3.996785970153447,3.997177438327506,3.9982392657721775,3.997156717357289,3.998336288613191,3.9984979178978914,3.9969068838066812,-0.0
0 days 00:00:03,3.9979364323014788,3.9969477859341125,3.99966729945065,3.997110440665348,3.998397686485557,3.99659828038939,3.9972630737016965,3.995796026523279,3.9964989599161598,3.998343213952328,3.9967250046741527,3.99681771073193,-0.0
0 days 00:00:03.100000,3.9972002071968857,3.9971892147296106,3.997896549516658,3.998298381517368,3.997026153831032,3.997362275862041,3.9967877108572956,3.997521019075082,3.998731968655164,3.9963977448151096,3.9956658065844572,3.9968323995382766,-0.0
0 days 00:00:03.200000,3.9968115608733354,3.9984890066644554,3.997057842258654,3.9966256247448992,3.9981080749707494,3.9983340553435283,3.9982354110540452,3.9982578927760932,3.997729367987074,3.9987854554518614,3.9990230774478435,3.9964243343232684,-0.0
0 days 00:00:03.300000,3.998125453714452,3.995745943070321,3.9975986671938184,3.9957264679455817,3.9969519825069737,3.9981531698815616,3.996669285143098,3.9976917880553953,3.998076569111734,3.9962931530460786,3.9964298996870444,3.9974163842717885,-0.0
0 days 00:00:03.400000,3.9981647521450725,3.9970585496574147,3.997484688537891,3.9983716330611827,3.997351528239018,3.9962274308118504,3.996185247207296,3.997627296716733,3.9985202007555594,3.997210353272841,3.9973320782672257,3.999170781846275,-0.0
0 days 00:00:03.500000,3.998878046957345,3.996763717480762,3.998402431009075,3.9975361486194947,3.998712021939791,3.9983439603458306,3.998419712566765,3.996165459317626,3.998553507315841,3.9975058063617026,3.9979287701830852,3.9959586258793545,-0.0
0 days 00:00:03.600000,3.999369512352818,3.997579184316239,3.9980068106656925,3.998965463472106,3.9967338113635624,3.9971510320634196,3.996322055438846,3.9975114586716054,4.0003688767639725,3.997682025255876,3.9972190289754077,3.9978474372254365,-0.0
0 days 00:00:03.700000,3.9966873908114744,3.9997418819861887,3.9964971276818604,3.99763283726274,3.9971829978902575,3.997294660233714,3.9966869456475465,3.9978935881773547,3.997286947684625,3.9962103564608396,3.9981251270599962,4.000182109049716,-0.0
0 days 00:00:03.800000,3.9971843249065215,3.9985254827525085,3.9979762679030215,3.9971931161779484,3.9986289372485997,3.9975765927706797,3.9967183471061127,3.998192635882235,3.998387651211073,3.9970783109784693,3.997872478487505,3.9950522392938126,-0.0
0 days 00:00:03.900000,3.9986402508364294,3.9973861957793426,3.997016937625945,3.9991584403777836,3.998564250359201,3.997123003587314,4.000132115593661,3.995136445287916,3.9959869972535973,3.997290586684333,3.9978334256995867,3.999438160105722,-0.0
0 days 00:00:04,3.9962222786183705,3.997045442291126,3.99864339609412,3.9999109914110194,3.9957356431743754,3.9968403035818696,3.9989039208174284,3.998499622927575,3.9978335978760766,3.995075809275794,3.996362203320298,3.9968554883323137,-0.0
0 days 00:00:04.100000,3.9973848491805377,3.996868098388549,3.996993670953017,3.9974511492785103,3.997870659636038,3.9972319601965602,3.9959714277134775,3.997314319392918,3.998498652751269,3.9985042053781625,3.9985150024727445,3.9972163840781443,-0.0
0 days 00:00:04.200000,3.997777956915602,3.997916248221194,3.997254555702826,3.9982246394747856,3.997357200076732,3.99802181273556,3.9989983779821325,3.997647924352433,3.998218764875516,3.995563427774682,3.9975693340417733,3.9969566244000667,-0.0
0 days 00:00:04.300000,3.9987712370088873,3.998275378392518,3.9981642585074297,3.9989277614763936,3.998420666833695,3.999329201424873,3.9964667750924954,3.998845537123704,3.9975093139361486,3.998074657591404,3.9983463262728676,3.9955544496849265,-0.0
0 days 00:00:04.400000,3.9986077404872264,3.9982532399020716,3.9964876910412857,3.996820877517191,3.997383257819429,3.997154125799177,3.9988038955473915,3.996535563345833,3.995738145386734,3.997237745505234,3.997948436682105,3.9974321495799847,-0.0
0 days 00:00:04.500000,3.9994402005784613,3.997840874371581,3.9979998580983565,3.9965915410440593,3.99840042585856,3.9978668295745616,3.9955136372869426,3.999259047540684,3.997336529873874,3.9983944044215023,3.9970854037974566,3.9977177211044355,-0.0
0 days 00:00:04.600000,3.9972501380390737,3.997840378669236,4.0000029249408025,3.9964494664820807,3.998343105955306,3.9977728844036835,3.9973966288944554,3.997224085525984,3.997589866769948,3.9977796703284456,3.9969319024503847,3.999081973031121,-0.0
0 days 00:00:04.700000,3.9979749913321405,3.999546105384478,3.9986123855391975,3.997195118981509,3.9985012800886657,3.9983712859777047,3.9978213219943806,3.9978203632469187,3.997383762404622,3.9988821706335758,3.998674345403409,3.9976031761313506,-0.0
0 days 00:00:04.800000,3.9974484083885633,3.99738651009059,3.9971741497792306,3.9975245039180742,4.000202854652629,3.996386772666424,3.997869490492014,3.9964418775550943,3.9984716634693687,3.997554713944174,3.996711112787688,3.9976423345668968,-0.0
0 days 00:00:04.900000,3.9985374824276625,3.9978287847524356,3.9977969562597533,3.9975713477234573,3.997848668239656,3.996889388831785,3.9992060971545187,3.996915229080728,3.996807886655834,3.997398007510879,3.9980379438913416,3.998171600002146,-0.0
0 days 00:00:05,3.9971035982300855,3.997154185734019,3.996346733802958,3.9982517791816115,3.996681901734049,3.999305055028764,3.996030436203408,3.9970764915117005,3.9982176849576607,3.9972750906095516,3.9986812483668683,3.99843452374456,-0.0
0 days 00:00:05.100000,3.997528014995213,3.999116841603582,3.996624995067375,3.9976762913248374,3.9981309844444457,3.996481851821632,3.995742420174105,3.996731757239382,3.9955201383275836,3.997168743263598,3.9972606275473828,3.997678062344996,-0.0
0 days 00:00:05.200000,3.996993412898791,3.997450208750521,3.997787283804719,3.998512543060882,3.997510025821443,3.9975996619759755,3.999787216541038,3.997928454312062,3.9985747153847595,3.9969370967718696,3.9976573401766093,3.997352072557051,-0.0
0 days 00:00:05.300000,3.9967089941114473,3.9975014641954343,3.997883690492612,3.9974153901795453,3.9980146647973673,3.9970785010587493,3.996198199166158,3.997318072611557,3.997533220870493,3.9965039630827155,3.9980683780932864,3.99681656514007,-0.0
0 days 00:00:05.400000,3.9968476107742816,3.997076264036926,3.996271605855351,3.997082094180021,3.998201411738483,3.999499259600058,3.9983550266490355,3.9975016344641197,3.997780289319124,3.9992188015286674,3.9966515775199682,3.997447523939128,-0.0
0 days 00:00:05.500000,3.9976711413271606,3.998750945940493,3.997937859193614,3.997404706820314,3.997773178309001,3.997351126266079,3.9976993854114937,3.99680061983941,3.998351266441357,3.9968474166320944,3.9994024159421633,3.997498129338885,-0.0
0 days 00:00:05.600000,3.997724841626616,3.9984793220190173,3.9978755505919237,3.9977862503933337,3.9974244613121397,3.9993694222593748,3.9965982694996343,3.9964298152288635,3.997572175278175,3.9968592459458483,3.9970569889251917,3.9988165626010486,-0.0
0 days 00:00:05.700000,3.997438707959087,3.997859917030267,3.9976567603170943,3.997279966473085,3.996836788147459,3.9970832695015517,3.996837607225752,4.0003867990225315,3.998850556640522,3.9978761181173965,3.998361425274046,3.996814870823971,-0.0
0 days 00:00:05.800000,3.997972691027333,3.9977253455624067,3.9980725454244657,3.9988585645331973,3.9965992404470847,3.996060742371534,3.9969794340540576,3.9992852497780556,3.9963377615009548,3.997856396973858,3.9976761591051626,3.997279464136278,-0.0
0 days 00:00:05.900000,3.9998258337112387,3.9978741226549563,3.9973092352387654,3.998332993192957,3.998580086189095,3.998536555803238,3.9990151580149136,3.9962230210892127,3.9980098118527563,3.997740276891044,3.9969542419503603,3.9979422724720814,-0.0
0 days 00:00:06,3.997675297657199,3.9997691293895588,3.997309789743714,3.9970832212617458,3.9960953419624294,3.9976218282336227,3.9968895544942686,3.9972518842591436,3.9973564989780557,3.996205227440796,3.9976789727345743,3.9978416135838284,-0.0
0 days 00:00:06.100000,3.9974966176113322,3.9981647648285503,3.999578537693577,3.9956055575332816,3.9970301168081903,3.998374659368566,3.9982893072533474,3.996433249405623,3.9966575493165064,3.998286090288534,3.9967998502533066,3.9968990463710647,-0.005353780376848229
0 days 00:00:06.200000,3.9968459994388144,3.9977839981035443,3.9978643289514957,3.9957646810204537,3.995887563177991,3.9972841957476053,3.998115398569795,3.997009159826754,3.998615427262947,3.996966606386066,3.9971360316143367,3.9970772936210985,-0.01070756075369641
0 days 00:00:06.300000,3.9978937438611815,3.998691957841142,3.996659709475111,3.996408063815017,3.9973644285632153,3.996483736812728,3.9995025124171333,3.9979548721497005,3.996092703545097,3.998467911558291,3.996030132724164,3.9987271427430695,-0.016061341130544637
0 days 00:00:06.400000,3.995772125189524,3.9980276303060305,3.9964336255090984,3.997164492453907,3.99800432751705,3.996661914761948,3.9952134470772407,3.997276339162359,3.9976099571017505,3.997205574406183,3.9969765197268203,3.997805320383256,-0.02141512150739282
0 days 00:00:06.500000,3.997494984545819,3.9977105099040497,3.9960303246348117,3.998090622039119,3.9984692043622667,3.9973649835584104,3.9993350959077376,3.997196833994479,3.998104714422734,3.9991802938231045,3.9984283077220533,3.9980472692549447,-0.026768901884241
0 days 00:00:06.600000,3.9956963392896765,3.997101026695741,3.997352645530059,3.997742940435913,3.998130479552934,3.997881468387515,3.9977602089942383,3.996439155394914,3.99518179397142,3.997697960048706,3.997117423033314,3.997695293204099,-0.03212268226108923
0 days 00:00:06.700000,3.997412855375955,3.9977894241817826,3.9965726077792385,3.9956042347581358,3.998574687111731,3.998020344320516,3.9975327403659633,3.9971841658572655,3.9966967239235855,3.996546612170395,3.996940728042389,3.996668308499014,-0.03747646263793741
0 days 00:00:06.800000,3.9966274550955943,3.9993878882570373,3.99620488303369,3.998131802305126,3.996343524628599,3.9962421909859045,3.9964240263784507,3.9984487781637026,3.996052028890189,3.997545077499804,3.9965089448636557,3.997868621724108,-0.04283024301478564
0 days 00:00:06.900000,3.996628502233571,3.996353217776252,3.9976506794688853,3.9971261632882826,3.9975572038116693,3.9961839051464407,3.9966925964171973,3.9989342488831627,3.9987237124106625,3.9982511689519247,3.99760477627603,3.995915862255658,-0.04818402339163382
0 days 00:00:07,3.9975192007407134,3.997139629241428,3.995864221845615,3.9999826796936024,3.9980967813470247,3.996199451679649,3.996918719776559,3.997979261426254,3.9964594742595088,3.99705131125799,3.996969316160414,3.9991461486581064,-0.053537803768482
0 days 00:00:07.100000,3.996675165979361,3.997520834684927,3.9966648832919445,3.9971495616929746,3.996214116692872,3.9964445965700333,3.996168531183963,3.9963828228445353,3.994943315465297,3.996150003349747,3.9954961264850994,3.9959838236984497,-0.11237097862715792
0 days 00:00:07.200000,3.9961768379778273,3.994907960870368,3.9960121115070484,3.997307900782371,3.993415683126714,3.995712069253657,3.99587925026512,3.9975159586720466,3.9952591051277397,3.9956864236961596,3.995433741008015,3.9957399336438004,-0.1712041534858333
0 days 00:00:07.300000,3.995943328505038,3.9930078891744545,3.9943100275972734,3.9967207151523634,3.9950383214961342,3.9956800674944772,3.9949408001935804,3.9965477426011318,3.9957130773889804,3.994786431581096,3.993403872571302,3.993089103296255,-0.2300373283445092
0 days 00:00:07.400000,3.994077083210984,3.992273049936101,3.994098922600205,3.9950800489993643,3.995667879827835,3.9944732128430576,3.992898484508398,3.993546846508605,3.994282632949707,3.993206988259138,3.9949822490269913,3.994867525059693,-0.2888705032031846
0 days 00:00:07.500000,3.9933422127564873,3.994049942249818,3.994617101061881,3.9950252452761044,3.9934296808828607,3.9947429686041347,3.9943038017916996,3.9955507095276452,3.995041978849103,3.9933675606827657,3.9929888180670448,3.9941584712636744,-0.34770367806186003
0 days 00:00:07.600000,3.992492407129925,3.9941770164510766,3.9926218974851286,3.9940996482423867,3.9931755229319417,3.9948697811603435,3.9928666962970922,3.9923812345450544,3.99144509375043,3.99335655603842,3.993291445908974,3.993380870803702,-0.40653685292053593
0 days 00:00:07.700000,3.9908764819411604,3.992793943916188,3.9916822028203316,3.9912422341869607,3.9929409200194605,3.9908421992300753,3.991395923358887,3.992029033868054,3.9921610524586053,3.9913030547772173,3.9932245343361386,3.9925063010500295,-0.4653700277792113
0 days 00:00:07.800000,3.9924391974645648,3.989208320428364,3.992522253213965,3.99275975837325,3.991606499517199,3.9917541458553916,3.994371938788273,3.991306572613757,3.994115147417207,3.9893677774620406,3.990860932402859,3.98998365063417,-0.5242032026378872
0 days 00:00:07.900000,3.9900336409737287,3.9903963813863346,3.9910397058928027,3.991873867340892,3.990758826169124,3.9927935319090375,3.9897715838507795,3.9916644127741927,3.990050502595348,3.99089451987979,3.991952876739738,3.9907643560915984,-0.5830363774965627
0 days 00:00:08,3.9890262461267616,3.989589532195641,3.9911375007377607,3.9902106252057616,3.9912810479432324,3.9904625934196893,3.990665311689154,3.9933696064320108,3.9908074489711907,3.990869826628718,3.9897776656367965,3.9916516781569564,-0.641869552355238
0 days 00:00:08.100000,3.988898987667678,3.98969536784395,3.988414650693155,3.9887285415484297,3.988818501064886,3.9884010012865256,3.9894457397712104,3.986779033930164,3.988028669154438,3.988180214999678,3.988717092479698,3.9889573167225527,-0.8365470030679537
0 days 00:00:08.200000,3.9868694104540023,3.9854107285045433,3.9855535431078946,3.9864514097957944,3.9858099698814677,3.986539031613429,3.9849358147214446,3.9867079468147066,3.986958706483795,3.9854252486353654,3.9852094308984167,3.9848548262097885,-1.031224453780673
0 days 00:00:08.300000,3.9861491544818852,3.984603803832132,3.981730211306167,3.985235734773268,3.9829204128771774,3.9841869094186975,3.9842349586746404,3.983040044203285,3.9836346896337465,3.982922412891175,3.9846486043427496,3.9841430940282225,-1.2259019044933885
0 days 00:00:08.400000,3.9815775667044484,3.9814529060292787,3.9809743588605766,3.983019245546894,3.9824161609815634,3.9815903098552003,3.9813667795048553,3.983917595593172,3.9824621729238987,3.980906992980509,3.9813808204643806,3.9800033628883345,-1.4205793552061041
0 days 00:00:08.500000,3.9813622049603343,3.979364454121463,3.979443031286399,3.9802795979407364,3.9782308451231883,3.9785922695802682,3.979389650414153,3.98039830227059,3.9795962394881483,3.9796169673015545,3.980132249619864,3.9800270262343473,-1.6152568059188197
0 days 00:00:08.600000,3.9769317960153963,3.9769438256894385,3.9778416795053975,3.9760722116319442,3.9789566250682955,3.976455155140561,3.9783770835806074,3.979030752718675,3.977400834757294,3.976741411117669,3.9758682835838663,3.9757743610597065,-1.8099342566315355
0 days 00:00:08.700000,3.9753257662265242,3.974593099959532,3.9770653457668192,3.974772004342559,3.9758294132343672,3.97388042356581,3.9765768415182405,3.9749554160607548,3.9740145929981834,3.9746575381709226,3.974209289984235,3.977198755664668,-2.004611707344255
0 days 00:00:08.800000,3.973078131245731,3.9739931290024173,3.9725696144062876,3.974161151864291,3.974288847630736,3.9726657696465724,3.9740847300236433,3.9717097907717736,3.9735250844183194,3.972716619623861,3.975695766840558,3.9720024292467926,-2.1992891580569705
0 days 00:00:08.900000,3.971187391129731,3.971103461650812,3.9688483118501754,3.970162978986366,3.970958334624125,3.9719108858602308,3.9702054445123447,3.970993003683516,3.97254833563688,3.971123468831784,3.971727029870108,3.9687817833859342,-2.3939666087696856
0 days 00:00:09,3.9679410998450546,3.968920838590874,3.9682993543230705,3.967943363105861,3.9681928103960207,3.9690574275499513,3.9685555234139565,3.9680921765671306,3.9683407300820384,3.969134824549817,3.969940165697025,3.9678832109145885,-2.5886440594824016
0 days 00:00:09.100000,3.9658185481596613,3.967555570649428,3.9651555969336325,3.9657921607751376,3.964807488728681,3.9674843815916354,3.966203609536109,3.9672305632709937,3.966240519442591,3.965991827826613,3.964774441638154,3.9653293730332693,-2.8513518992997184
0 days 00:00:09.200000,3.960632838560904,3.9636289452548397,3.963767951112651,3.9647681550576133,3.9645152797059815,3.961982885929399,3.9627653696352305,3.963764725166229,3.9630926044362074,3.9643670570268092,3.9623593554759458,3.9619363241690624,-3.1140597391170406
0 days 00:00:09.300000,3.9605137799979815,3.9594507313881517,3.9593597624225803,3.9591723921660287,3.960922504446331,3.9609518198451727,3.959137745570513,3.9591169773937445,3.958972772686534,3.9602928352768885,3.960522795869724,3.9591744572068914,-3.3767675789343574
0 days 00:00:09.400000,3.9572019466430883,3.957052607523262,3.958928093394389,3.957027989666889,3.958110168427106,3.958240896004829,3.9560446804924627,3.956922476483804,3.9563392317379837,3.9573872312210376,3.9562700811314775,3.95660756746579,-3.6394754187516742
0 days 00:00:09.500000,3.954283560294452,3.9533201917043344,3.9556784710607666,3.9534451961454367,3.953658992337994,3.9529620130791567,3.952175485914103,3.95466485462033,3.9545409537631717,3.953647125415002,3.9534850773845425,3.9551739235665386,-3.9021832585689915
0 days 00:00:09.600000,3.952295946978186,3.9501507204051767,3.949835159817266,3.950440370704212,3.9507091905987446,3.950547259431066,3.9506222046965176,3.9495731953674444,3.9501026902201257,3.950853126904159,3.9504666574492484,3.9521112005349455,-4.164891098386313
0 days 00:00:09.700000,3.947232486811262,3.9452548490085517,3.9481254693427448,3.9490936960096694,3.949019635710107,3.9486486877225415,3.948168279462571,3.9467584590971727,3.9470043562371493,3.9477174603678455,3.948358893539296,3.946301972234453,-4.42759893820363
0 days 00:00:09.800000,3.944768493712981,3.9438883287685083,3.944399083034486,3.945612824423677,3.9457861717049356,3.9445702533909555,3.9449739608026153,3.9444898946246063,3.9461191732181757,3.9450774938324296,3.9447989510994623,3.9441800757546,-4.690306778020947
0 days 00:00:09.900000,3.943961464794896,3.9427404909383337,3.9410517565990903,3.9417267603674957,3.942309435659936,3.942850812533565,3.9425386567914327,3.9423545985243202,3.9418498013707297,3.9415347742578914,3.943025363119871,3.9422296761428792,-4.953014617838265
0 days 00:00:10,3.9379245885669905,3.9384441231008775,3.9374459655765834,3.9370868542880735,3.939199914951214,3.9397783571776577,3.938646057515814,3.939360353860927,3.9392503279660365,3.938684353100685,3.938075496596773,3.9377212257405887,-5.215722457655581
0 days 00:00:10.100000,3.935842449111529,3.9374973778152595,3.937984440845976,3.9387785844379293,3.938999501580185,3.938270085892531,3.9382239836638173,3.9382567832193316,3.9374577501608363,3.9370242069046646,3.9374254545382135,3.9365077594463362,-5.343379554341237
0 days 00:00:10.200000,3.935627240157994,3.9354628916403604,3.9356398881102477,3.9347337819869868,3.9357800973091437,3.935257184138934,3.9337591584299165,3.9360194212485866,3.93547250778372,3.9340216264199026,3.934962392454971,3.937425595995256,-5.47103665102689
0 days 00:00:10.300000,3.935828593502229,3.933920818229666,3.934405464903985,3.934627656617936,3.933994346565575,3.932018854322925,3.933245813138648,3.933955185075482,3.9357867404937896,3.934535782811391,3.9338649558197263,3.9342302258743187,-5.5986937477125425
0 days 00:00:10.400000,3.932299057166951,3.9333832829724744,3.931970349171757,3.932199229246192,3.931683068761353,3.933084694299074,3.9319913662359887,3.93358639632373,3.9322373270466078,3.933588023055446,3.9310328863234796,3.9324694890832745,-5.726350844398196
0 days 00:00:10.500000,3.9312930429918826,3.9306196885486986,3.93159926684818,3.9290684877685553,3.9326555748341203,3.931302229868971,3.9304831991892417,3.9311029314884327,3.930504610518144,3.9312860118705735,3.9310277235562,3.931200580951545,-5.854007941083848
0 days 00:00:10.600000,3.931412955624121,3.9302036628088124,3.928753958697228,3.9305076445182547,3.929820482939482,3.929349909091465,3.930939243926932,3.9293681928770727,3.930670566062847,3.9289423656610887,3.9280863669732513,3.92886546114038,-5.9816650377695035
0 days 00:00:10.700000,3.9250006806030395,3.927188376536433,3.9277672637642382,3.9280002163932326,3.9286913154423986,3.927936877865712,3.927616272717709,3.927106568374904,3.9284163505499405,3.928176183591011,3.927242373464185,3.927784529701435,-6.109322134455156
0 days 00:00:10.800000,3.9265270355007242,3.9275525125753643,3.927341209001368,3.9264978559991057,3.9266401854762787,3.9253809959818438,3.9270440506554136,3.9258879303998837,3.9267764481630345,3.9268976770353623,3.926307290277904,3.9256532715645016,-6.236979231140809
0 days 00:00:10.900000,3.9259555874098147,3.926920376567747,3.924148214835824,3.925501324019935,3.9238438720586397,3.924062477076181,3.925618500526736,3.923924537069145,3.92749431467446,3.9253068435626415,3.9236345416452756,3.926023476338605,-6.364636327826462
0 days 00:00:11,3.92530121234278,3.9234321205536142,3.92415222715623,3.9225561497244517,3.923594086458211,3.9252549013094153,3.9235575877726605,3.9246094700050627,3.9233165164416888,3.9259816599975075,3.9227756891228114,3.9216515699888865,-6.492293424512115
0 days 00:00:11.100000,3.9237054211462588,3.9245071795029487,3.9234069863835654,3.9244131137224434,3.924902464631658,3.923629920552886,3.92308308686879,3.923739590921252,3.923103031147874,3.9227690110658764,3.921079654495168,3.922495151075431,-6.5012746092193945
0 days 00:00:11.200000,3.9243779221456756,3.9218154785294534,3.9219945925928124,3.9236658819586756,3.924178745944086,3.9225178562370657,3.9240016343515864,3.924079878415247,3.9224148318149945,3.9220505800248735,3.9243595172802404,3.9243481660010557,-6.510255793926673
